add-none,1,1,2,202820,101410,0
add-none,1,10,20,129387,6469,0
add-none,1,100,200,141237,706,0
add-none,1,1000,2000,159558,79,0
add-none,1,10000,20000,397945,19,0
add-none,1,100000,200000,2218006,11,0
add-none,2,1,4,149513,37378,0
add-none,2,10,40,150987,3774,0
add-none,2,100,400,143949,359,0
add-none,2,1000,4000,130861,32,0
add-none,2,10000,40000,1225929,30,72
add-none,2,100000,400000,11867951,29,3663
add-none,4,1,8,198457,24807,0
add-none,4,10,80,197339,2466,0
add-none,4,100,800,185936,232,0
add-none,4,1000,8000,244207,30,952
add-none,4,10000,80000,2041998,25,-1231
add-none,4,100000,800000,18502535,23,-12275
add-none,8,1,16,327647,20477,0
add-none,8,10,160,312480,1953,0
add-none,8,100,1600,320452,200,0
add-none,8,1000,16000,460966,28,477
add-none,8,10000,160000,3903281,24,358
add-none,8,100000,1600000,26205284,16,-10072
add-none,12,1,24,335619,13984,0
add-none,12,10,240,514452,2143,0
add-none,12,100,2400,501218,208,0
add-none,12,1000,24000,742259,30,-1201
add-none,12,10000,240000,7076929,29,-19135
add-none,12,100000,2400000,45567161,18,-210878
add-yield-none,1,1,2,145467,72733,0
add-yield-none,1,10,20,199723,9986,0
add-yield-none,1,100,200,301109,1505,0
add-yield-none,1,1000,2000,1746777,873,0
add-yield-none,1,10000,20000,15699851,784,0
add-yield-none,1,100000,200000,98391623,491,0
add-yield-none,2,1,4,159498,39874,0
add-yield-none,2,10,40,209035,5225,0
add-yield-none,2,100,400,310054,775,24
add-yield-none,2,1000,4000,1998156,499,44
add-yield-none,2,10000,40000,16670395,416,7
add-yield-none,2,100000,400000,103159544,257,-147
add-yield-none,4,1,8,198247,24780,0
add-yield-none,4,10,80,223823,2797,0
add-yield-none,4,100,800,355434,444,73
add-yield-none,4,1000,8000,2027491,253,71
add-yield-none,4,10000,80000,18193642,227,75
add-yield-none,4,100000,800000,122222616,152,-1588
add-yield-none,8,1,16,416777,26048,0
add-yield-none,8,10,160,401373,2508,16
add-yield-none,8,100,1600,463760,289,126
add-yield-none,8,1000,16000,2210780,138,199
add-yield-none,8,10000,160000,18880362,118,-10
add-yield-none,8,100000,1600000,137994961,86,-11866
add-yield-none,12,1,24,497925,20746,0
add-yield-none,12,10,240,489769,2040,28
add-yield-none,12,100,2400,590086,245,34
add-yield-none,12,1000,24000,3025288,126,-528
add-yield-none,12,10000,240000,23312884,97,-6423
add-yield-none,12,100000,2400000,198927547,82,-47947
add-m,1,1,2,85515,42757,0
add-s,1,1,2,143813,71906,0
add-c,1,1,2,143254,71627,0
add-m,1,10,20,106895,5344,0
add-s,1,10,20,140214,7010,0
add-c,1,10,20,136239,6811,0
add-m,1,100,200,209012,1045,0
add-s,1,100,200,148463,742,0
add-c,1,100,200,111907,559,0
add-m,1,1000,2000,247452,123,0
add-s,1,1000,2000,248999,124,0
add-c,1,1000,2000,204563,102,0
add-m,1,10000,20000,876727,43,0
add-s,1,10000,20000,1096231,54,0
add-c,1,10000,20000,653139,32,0
add-m,1,100000,200000,7456209,37,0
add-s,1,100000,200000,9649728,48,0
add-c,1,100000,200000,5252406,26,0
add-m,2,1,4,180138,45034,0
add-s,2,1,4,160030,40007,0
add-c,2,1,4,130640,32660,0
add-m,2,10,40,166592,4164,0
add-s,2,10,40,144530,3613,0
add-c,2,10,40,120338,3008,0
add-m,2,100,400,150801,377,0
add-s,2,100,400,117429,293,0
add-c,2,100,400,135144,337,0
add-m,2,1000,4000,644725,161,0
add-s,2,1000,4000,1066218,266,0
add-c,2,1000,4000,565514,141,0
add-m,2,10000,40000,4488718,112,0
add-s,2,10000,40000,7998310,199,0
add-c,2,10000,40000,6339032,158,0
add-m,2,100000,400000,30357795,75,0
add-s,2,100000,400000,51971440,129,0
add-c,2,100000,400000,41000617,102,0
add-m,4,1,8,200968,25121,0
add-s,4,1,8,183121,22890,0
add-c,4,1,8,189312,23664,0
add-m,4,10,80,159115,1988,0
add-s,4,10,80,191497,2393,0
add-c,4,10,80,225681,2821,0
add-m,4,100,800,197083,246,0
add-s,4,100,800,193588,241,0
add-c,4,100,800,272305,340,0
add-m,4,1000,8000,1587201,198,0
add-s,4,1000,8000,2134740,266,0
add-c,4,1000,8000,1684238,210,0
add-m,4,10000,80000,15276093,190,0
add-s,4,10000,80000,19917598,248,0
add-c,4,10000,80000,10500136,131,0
add-m,4,100000,800000,90435087,113,0
add-s,4,100000,800000,129986583,162,0
add-c,4,100000,800000,96339444,120,0
add-m,8,1,16,347915,21744,0
add-s,8,1,16,390857,24428,0
add-c,8,1,16,306620,19163,0
add-m,8,10,160,338893,2118,0
add-s,8,10,160,330855,2067,0
add-c,8,10,160,1165045,7281,0
add-m,8,100,1600,312994,195,0
add-s,8,100,1600,454414,284,0
add-c,8,100,1600,312636,195,0
add-m,8,1000,16000,2687838,167,0
add-s,8,1000,16000,5357368,334,0
add-c,8,1000,16000,2618550,163,0
add-m,8,10000,160000,22553345,140,0
add-s,8,10000,160000,28318898,176,0
add-c,8,10000,160000,24162228,151,0
add-m,8,100000,1600000,170454369,106,0
add-s,8,100000,1600000,297611325,186,0
add-c,8,100000,1600000,215653613,134,0
add-m,12,1,24,448977,18707,0
add-s,12,1,24,456694,19028,0
add-c,12,1,24,474538,19772,0
add-m,12,10,240,519700,2165,0
add-s,12,10,240,524703,2186,0
add-c,12,10,240,436157,1817,0
