list-d-m,4,32,1,384,828940,2158
list-l-m,4,32,1,384,2387777,6218
list-id-m,4,32,1,384,893235,2326
list-il-m,4,32,1,384,4131698,10759
list-dl-m,4,32,1,384,1727926,4499
list-idl-m,4,32,1,384,2416910,6294
list-i-m,8,1,1,24,371255,15468
list-d-m,8,1,1,24,363588,15149
list-l-m,8,1,1,24,303023,12625
list-id-m,8,1,1,24,351427,14642
list-il-m,8,1,1,24,313924,13080
list-dl-m,8,1,1,24,438921,18288
list-idl-m,8,1,1,24,319526,13313
list-i-m,8,2,1,48,290564,6053
list-d-m,8,2,1,48,298567,6220
list-l-m,8,2,1,48,376535,7844
list-id-m,8,2,1,48,303811,6329
list-il-m,8,2,1,48,335142,6982
list-dl-m,8,2,1,48,363711,7577
list-idl-m,8,2,1,48,361322,7527
list-i-m,8,4,1,96,469007,4885
list-d-m,8,4,1,96,317658,3308
list-l-m,8,4,1,96,1415053,14740
list-id-m,8,4,1,96,599037,6239
list-il-m,8,4,1,96,622975,6489
list-dl-m,8,4,1,96,346128,3605
list-idl-m,8,4,1,96,585558,6099
list-i-m,8,8,1,192,532956,2775
list-d-m,8,8,1,192,422033,2198
list-l-m,8,8,1,192,823139,4287
list-id-m,8,8,1,192,516171,2688
list-il-m,8,8,1,192,1151629,5998
list-dl-m,8,8,1,192,861178,4485
list-idl-m,8,8,1,192,1463544,7622
list-i-m,8,16,1,384,929982,2421
list-d-m,8,16,1,384,852251,2219
list-l-m,8,16,1,384,2015701,5249
list-id-m,8,16,1,384,1002416,2610
list-il-m,8,16,1,384,3743718,9749
list-dl-m,8,16,1,384,2700646,7032
list-idl-m,8,16,1,384,3293969,8578
list-i-m,8,32,1,768,1587114,2066
list-d-m,8,32,1,768,1565647,2038
list-l-m,8,32,1,768,6274855,8170
list-id-m,8,32,1,768,2313133,3011
list-il-m,8,32,1,768,8772371,11422
list-dl-m,8,32,1,768,7015908,9135
list-idl-m,8,32,1,768,8245605,10736
list-i-m,12,1,1,36,460700,12797
list-d-m,12,1,1,36,531924,14775
list-l-m,12,1,1,36,428325,11897
list-id-m,12,1,1,36,456090,12669
list-il-m,12,1,1,36,482398,13399
list-dl-m,12,1,1,36,461098,12808
list-idl-m,12,1,1,36,431172,11977
list-i-m,12,2,1,72,495476,6881
list-d-m,12,2,1,72,484613,6730
list-l-m,12,2,1,72,465867,6470
list-id-m,12,2,1,72,453141,6293
list-il-m,12,2,1,72,463214,6433
list-dl-m,12,2,1,72,459090,6376
